球员姓名,球队,场均得分,上场时间,篮板,助攻,盖帽,防守,效率,命中率
斯蒂芬 库里,勇士,32.0,34.2,5.5,5.8,0.1,5.0,29.4,48.2
布拉德利  比尔,奇才,31.3,35.8,4.7,4.4,0.4,3.5,26.1,48.5
达米安 利拉德,开拓者,28.8,35.8,4.2,7.5,0.3,3.7,27.2,45.1
乔尔 恩比德,76人,28.5,31.1,10.6,2.8,1.4,8.4,31.0,51.3
扬尼斯 安特托昆博,雄鹿,28.1,33.0,11.0,5.9,1.2,9.4,33.2,56.9
卢卡 东契奇,独行侠,27.7,34.3,8.0,8.6,0.5,7.2,29.0,47.9
扎克 拉文,公牛,27.4,35.1,5.0,4.9,0.5,4.4,24.7,50.7
锡安 威廉姆森,鹈鹕,27.0,33.2,7.2,3.7,0.6,4.5,27.5,61.1
凯文 杜兰特,篮网,26.9,33.1,7.1,5.6,1.3,6.7,29.4,53.7
凯里 欧文,篮网,26.9,34.9,4.8,6.0,0.7,3.8,27.1,50.6
尼古拉 约基奇,掘金,26.4,34.6,10.8,8.3,0.7,8.0,35.9,56.6
多诺万 米切尔,爵士,26.4,33.4,4.4,5.2,0.3,3.5,22.1,43.8
杰森 塔图姆,凯尔特人,26.4,35.8,7.4,4.3,0.5,6.6,25.3,45.9
德文 布克,太阳,25.6,33.9,4.2,4.3,0.2,3.7,21.3,48.4
特雷 杨,老鹰,25.3,33.7,3.9,9.4,0.2,3.3,24.6,43.8
达龙 福克斯,国王,25.2,35.1,3.5,7.2,0.5,2.9,22.8,47.7
勒布朗 詹姆斯,湖人,25.0,33.4,7.7,7.8,0.6,7.0,27.8,51.3
科怀 伦纳德,快船,24.8,34.1,6.5,5.2,0.4,5.4,27.3,51.2
卡尔-安东尼 唐斯,森林狼,24.8,33.8,10.6,4.5,1.1,7.9,28.7,48.6
杰伦 布朗,凯尔特人,24.7,34.5,6.0,3.4,0.6,4.8,22.2,48.4
詹姆斯 哈登,篮网,24.6,36.6,7.9,10.8,0.8,7.1,31.3,46.6
科林 塞克斯顿,骑士,24.3,35.3,3.1,4.4,0.2,2.2,19.4,47.5
朱利叶斯 兰德尔,尼克斯,24.1,37.6,10.2,6.0,0.3,9.0,26.8,45.6
布兰登 英格拉姆,鹈鹕,23.8,34.3,4.9,4.9,0.6,4.3,22.0,46.6
谢伊 吉尔杰斯-亚历山大,雷霆,23.7,33.7,4.7,5.9,0.7,4.2,23.6,50.8
尼古拉 武切维奇,公牛,23.4,33.5,11.7,3.8,0.7,9.6,28.0,47.7
保罗 乔治,快船,23.3,33.7,6.6,5.2,0.4,5.8,23.5,46.7
CJ 麦科勒姆,开拓者,23.1,34.0,3.9,4.7,0.4,3.3,21.1,45.8
杰拉米 格兰特,活塞,22.3,33.9,4.6,2.8,1.1,4.0,18.6,42.9
拉塞尔 威斯布鲁克,奇才,22.2,36.4,11.5,11.7,0.4,9.9,29.6,43.9
安东尼 戴维斯,湖人,21.8,32.3,7.9,3.1,1.6,6.2,23.4,49.1
德马尔 德罗赞,马刺,21.6,33.7,4.2,6.9,0.2,3.6,23.5,49.5
吉米 巴特勒,热火,21.5,33.6,6.9,7.1,0.3,5.1,27.6,49.7
帕斯卡尔 西亚卡姆,猛龙,21.4,35.8,7.2,4.5,0.7,5.5,22.3,45.5
马尔科姆 布罗格登,步行者,21.2,34.5,5.3,5.9,0.3,4.2,21.4,45.3
贾马尔 穆雷,掘金,21.2,35.5,4.0,4.8,0.3,3.3,20.4,47.7
克里斯蒂安 伍德,火箭,21.0,32.3,9.6,1.7,1.2,7.8,23.0,51.4
约翰 沃尔,火箭,20.6,32.2,3.2,6.9,0.8,2.8,16.8,40.4
克里斯 米德尔顿,雄鹿,20.4,33.4,6.0,5.4,0.1,5.2,21.8,47.6
特里 罗齐尔,黄蜂,20.4,34.5,4.4,4.2,0.4,3.7,19.2,45.0
多曼塔斯 萨博尼斯,步行者,20.3,36.0,12.0,6.7,0.5,9.5,29.1,53.5
卡里斯 勒维尔,步行者,20.2,31.6,4.6,5.2,0.6,3.9,19.4,44.1
克里斯塔普斯 波尔津吉斯,独行侠,20.1,30.9,8.9,1.6,1.3,7.0,22.4,47.6
维克托 奥拉迪波,热火,19.8,32.7,4.8,4.6,0.4,4.5,17.1,40.8
马利克 比斯利,森林狼,19.6,32.8,4.4,2.4,0.2,3.6,16.3,44.0
戈登 海沃德,黄蜂,19.6,34.0,5.9,4.1,0.3,5.0,20.5,47.3
弗雷德 范弗里特,猛龙,19.6,36.5,4.2,6.3,0.7,3.6,20.0,38.9
托拜厄斯 哈里斯,76人,19.5,32.5,6.8,3.5,0.8,5.8,22.2,51.2
安东尼 爱德华兹,森林狼,19.3,32.1,4.7,2.9,0.5,3.8,15.7,41.7
肯巴 沃克,凯尔特人,19.3,31.8,4.0,4.9,0.3,3.6,18.0,42.0
